Start	End	Length	Name
00:00:00.000	00:00:04.767	00:00:04.767	
00:00:04.767	00:00:19.189	00:00:14.422	
00:00:19.189	00:00:33.550	00:00:14.361	
00:00:33.550	00:00:36.451	00:00:02.902	
00:00:36.451	00:00:43.347	00:00:06.896	
00:00:43.347	00:00:57.733	00:00:14.385	
00:00:57.733	00:01:09.820	00:00:12.087	
00:01:09.820	00:01:12.726	00:00:02.906	
00:01:12.726	00:01:18.430	00:00:05.705	
00:01:18.430	00:01:23.932	00:00:05.501	
00:01:23.932	00:01:25.504	00:00:01.573	
00:01:25.504	00:01:27.910	00:00:02.406	
00:01:27.910	00:01:29.654	00:00:01.744	
00:01:29.654	00:01:41.598	00:00:11.944	
00:01:41.598	00:01:55.728	00:00:14.129	
00:01:55.728	00:02:01.283	00:00:05.556	
00:02:01.283	00:02:06.351	00:00:05.067	
00:02:06.351	00:02:12.059	00:00:05.708	
00:02:12.059	00:02:25.332	00:00:13.273	
00:02:25.332	00:02:34.215	00:00:08.882	
00:02:34.215	00:02:52.142	00:00:17.927	
00:02:52.142	00:02:59.314	00:00:07.173	
00:02:59.314	00:03:13.956	00:00:14.641	
00:03:13.956	00:03:18.903	00:00:04.947	
00:03:18.903	00:03:29.420	00:00:10.517	
00:03:29.420	00:03:32.039	00:00:02.619	
00:03:32.039	00:03:34.193	00:00:02.154	
00:03:34.193	00:03:40.248	00:00:06.056	
00:03:40.248	00:04:10.281	00:00:30.033	
00:04:10.281	00:04:17.191	00:00:06.910	
00:04:17.191	00:04:27.845	00:00:10.653	
00:04:27.845	00:04:30.251	00:00:02.406	
00:04:30.251	00:04:36.453	00:00:06.203	
