Start	End	Length	Name
00:00:00.000	00:00:04.226	00:00:04.226	
00:00:04.226	00:00:21.644	00:00:17.417	
00:00:21.644	00:00:58.697	00:00:37.054	
00:00:58.697	00:01:09.858	00:00:11.161	
00:01:09.858	00:01:29.736	00:00:19.878	
00:01:29.736	00:01:33.284	00:00:03.548	
00:01:33.284	00:01:42.930	00:00:09.646	
00:01:42.930	00:01:46.291	00:00:03.361	
00:01:46.291	00:01:49.617	00:00:03.325	
00:01:49.617	00:01:57.148	00:00:07.532	
00:01:57.148	00:02:00.535	00:00:03.387	
00:02:00.535	00:02:04.630	00:00:04.094	
00:02:04.630	00:02:05.657	00:00:01.027	
00:02:05.657	00:02:09.360	00:00:03.704	
00:02:09.360	00:02:15.421	00:00:06.061	
00:02:15.421	00:02:19.958	00:00:04.536	
00:02:19.958	00:02:24.751	00:00:04.794	
00:02:24.751	00:02:27.477	00:00:02.726	
00:02:27.477	00:02:37.189	00:00:09.712	
00:02:37.189	00:03:01.339	00:00:24.150	
00:03:01.339	00:03:20.893	00:00:19.555	
